"privacy_concerns","smartphone_skill","whatsapp_usage","secure_messenger","other_messenger","altruism","civic_duty","trust_science","trust_polsters","trust_gen","extrov","openess","neurot","consient","agreab","age_n","sted","inc_cat","educ_cat","employ_bin","Y_contacts"
4,4,1,0,0,0,0,3,2,6,28,29,36,19,32,58,3,1,4,0,895
7,2,3,1,1,1,2,2,4,0,26,29,20,21,23,77,9,0,1,0,1350
3,4,1,0,0,0,0,4,2,6,28,30,20,29,33,19,3,1,6,0,779
4,3,1,0,0,0,0,3,3,8,11,35,33,31,18,36,6,1,4,1,821
3,4,1,0,0,1,0,4,2,5,12,17,24,25,28,71,7,1,6,0,809
4,3,1,0,0,0,0,3,3,8,13,28,36,24,33,80,4,1,4,1,861
5,3,1,0,0,0,0,3,3,8,25,25,29,28,33,56,4,1,4,1,937
5,3,1,0,0,0,0,3,3,7,24,23,34,34,29,66,4,1,5,1,943
4,3,1,0,0,0,0,3,3,8,32,20,40,30,37,72,6,1,4,1,891
1,1,3,1,1,1,3,1,4,10,32,34,14,24,38,73,11,0,1,0,894
5,3,1,0,0,0,0,3,3,7,16,28,12,28,29,57,5,1,5,1,912
5,3,1,0,0,0,0,3,3,7,29,15,33,29,27,33,5,1,5,1,912
5,3,1,0,0,0,0,3,3,7,28,20,30,20,31,46,5,1,5,1,913
3,5,1,0,0,1,0,4,2,5,20,29,22,28,28,45,7,1,6,0,910
3,4,1,0,0,1,0,4,2,6,21,26,17,26,31,25,7,1,6,0,806
2,2,2,1,1,1,1,2,1,9,27,28,22,31,26,63,8,0,3,0,698
3,4,1,0,0,1,0,4,2,5,19,22,27,21,38,58,7,1,6,0,827
6,5,1,0,0,1,0,4,2,5,10,20,25,29,30,55,0,0,2,0,1159
4,4,1,0,0,0,0,3,2,6,16,26,26,27,32,69,3,1,4,1,883
3,4,1,0,0,1,0,4,2,5,20,27,11,22,23,74,7,1,6,0,817
6,5,2,1,1,1,1,4,1,3,20,30,20,27,20,63,2,0,2,0,1210
6,5,2,0,1,1,0,4,1,4,21,24,30,29,28,36,2,0,2,0,1212
7,2,3,1,1,1,3,1,4,10,21,26,26,25,27,37,9,0,1,0,1412
4,3,1,0,0,0,0,3,2,8,30,25,33,30,29,39,6,1,4,1,839
4,3,1,0,0,0,0,3,3,8,31,22,31,28,28,40,4,1,4,1,830
4,3,1,0,0,0,0,3,3,8,15,23,23,23,26,61,6,1,4,1,822
5,3,1,0,0,0,0,3,3,7,18,25,29,27,36,66,5,1,5,1,952
5,3,1,0,0,0,0,3,3,7,22,30,29,32,33,39,4,1,5,1,924
2,5,2,1,1,1,1,4,1,3,22,20,23,32,28,70,2,0,2,0,859
5,3,1,0,0,0,0,3,3,7,15,15,32,31,39,55,4,1,5,1,926
5,3,1,0,0,0,0,3,3,7,21,33,16,20,31,70,4,1,5,1,924
5,3,1,0,0,0,0,3,3,7,22,28,24,23,33,39,5,1,5,1,909
5,3,1,0,0,0,0,3,3,7,28,32,35,36,31,50,4,1,5,1,947
6,5,1,0,0,1,0,4,2,5,25,32,33,33,32,74,0,0,2,0,1219
2,5,2,1,1,1,1,4,1,3,20,35,28,33,20,76,2,0,2,0,879
4,4,1,0,0,0,0,3,2,6,20,32,19,20,34,51,3,1,4,1,864
4,3,1,0,0,0,0,3,3,8,30,25,24,33,17,29,6,1,4,1,821
5,3,1,0,0,0,0,3,3,7,30,21,21,23,24,64,4,1,5,1,920
5,3,1,0,0,0,0,3,3,7,20,28,34,36,30,26,5,1,5,1,925
4,3,1,0,0,0,0,3,3,8,28,22,23,25,34,49,6,1,4,1,839
3,4,1,0,0,0,0,4,2,6,24,28,35,30,29,74,3,1,6,0,844
5,3,1,0,0,0,0,3,3,7,28,22,15,28,25,61,4,1,5,1,919
4,3,1,0,0,0,0,3,2,8,22,32,25,34,29,76,6,1,4,1,868
5,3,1,0,0,0,0,3,3,7,37,21,19,18,33,63,4,1,5,1,936
4,4,1,0,0,0,0,3,2,6,23,28,19,32,30,72,3,1,4,1,903
4,3,1,0,0,0,0,3,3,8,23,28,26,38,31,26,6,1,4,1,828
3,4,1,0,0,1,0,4,2,5,25,28,10,16,25,53,7,1,6,0,802
4,3,1,0,0,0,0,3,3,8,21,26,30,28,29,74,6,1,4,1,865
4,3,1,0,0,0,0,3,3,8,28,37,31,33,25,56,6,1,4,1,865
4,4,1,0,0,0,0,3,2,6,22,24,26,32,25,36,3,1,4,1,846
6,5,1,0,0,1,0,4,2,5,19,35,37,28,32,60,0,0,2,0,1201
5,3,1,0,0,0,0,3,3,7,19,33,32,21,28,37,4,1,5,1,917
4,3,1,0,0,0,0,3,3,8,18,25,28,33,31,62,6,1,4,1,854
5,3,1,0,0,0,0,3,3,7,9,23,17,34,35,57,4,1,5,1,910
3,4,1,0,0,1,0,4,2,6,20,27,37,29,35,27,7,1,6,0,833
5,3,1,0,0,0,0,3,3,7,12,27,30,23,23,50,4,1,5,1,896
2,5,2,1,1,1,1,2,1,3,23,26,28,29,30,74,8,0,3,0,896
6,5,1,0,0,1,0,4,2,5,22,34,25,27,34,67,0,0,2,0,1196
3,4,1,0,0,1,0,4,2,5,19,38,35,21,21,55,7,1,6,0,842
3,4,1,0,0,1,0,4,2,6,31,21,22,25,34,59,7,1,6,0,846
4,3,1,0,0,0,0,3,3,8,22,23,36,29,25,59,6,1,4,1,848
4,4,1,0,0,0,0,3,2,6,25,24,16,32,28,20,3,1,4,1,829
2,5,2,1,1,1,1,2,1,9,22,33,29,27,36,75,8,0,3,0,973
3,4,1,0,0,0,0,4,2,6,25,17,37,26,33,62,3,1,6,0,821
6,5,2,1,1,1,1,4,1,3,12,22,29,30,27,41,2,0,2,0,1192
4,3,1,0,0,0,0,3,3,8,17,29,40,28,32,22,4,1,4,1,817
3,5,1,0,0,1,0,4,2,5,28,29,23,25,26,67,0,1,6,0,899
5,3,1,0,0,0,0,3,3,7,12,20,17,24,32,38,4,1,5,1,874
3,4,1,0,0,0,0,4,2,6,25,21,31,32,32,24,3,1,6,0,788
4,4,1,0,0,0,0,3,2,6,18,31,12,29,21,59,3,1,4,1,864
5,3,1,0,0,0,0,3,3,7,24,28,31,31,31,62,4,1,5,1,947
3,4,1,0,0,0,0,3,2,6,20,22,26,23,35,54,3,1,6,0,791
2,2,2,1,1,1,1,2,1,2,18,31,16,16,20,58,1,0,3,0,559
2,2,2,1,1,1,1,2,1,9,15,22,40,28,32,54,8,0,3,0,691
5,3,1,0,0,0,0,3,3,7,21,30,31,36,26,62,4,1,5,1,944
4,3,1,0,0,0,0,3,3,8,16,20,22,33,27,31,4,1,4,1,802
1,1,3,1,1,1,3,1,4,10,25,25,28,27,29,56,11,0,1,0,880
3,4,1,0,0,1,0,4,2,6,29,27,30,30,33,36,7,1,6,0,843
2,2,3,1,1,1,2,2,4,2,27,23,17,32,23,60,1,0,3,0,820
4,3,1,0,0,0,0,3,2,8,23,27,28,23,34,23,6,1,4,1,807
4,3,1,0,0,0,0,3,3,8,29,23,29,30,29,39,6,1,4,1,835
3,4,1,0,0,1,0,4,2,5,11,19,18,26,31,18,7,1,6,0,760
5,3,1,0,0,0,0,3,3,7,28,23,18,22,30,53,5,1,5,1,917
3,4,1,0,0,0,0,4,2,6,28,32,27,37,28,53,3,1,6,0,820
5,3,1,0,0,0,0,3,3,7,19,35,26,29,27,26,4,1,5,1,904
7,2,3,1,1,1,2,1,4,0,20,22,20,19,27,79,9,0,1,0,1333
3,4,1,0,0,0,0,4,2,6,14,34,24,25,27,32,7,1,6,0,801
4,4,1,0,0,0,0,3,2,6,27,19,19,35,33,21,3,1,4,1,847
4,3,1,0,0,0,0,3,3,8,29,24,28,34,23,62,6,1,4,1,852
2,2,2,1,1,1,1,2,1,9,26,25,32,33,29,60,8,0,3,0,710
4,3,1,0,0,0,0,3,3,8,19,21,27,32,21,71,6,1,4,1,846
5,3,1,0,0,0,0,3,3,8,13,25,32,32,24,56,4,1,5,1,937
5,3,1,0,0,0,0,3,3,7,14,26,28,27,36,47,5,1,5,1,927
5,3,1,0,0,0,0,3,3,7,20,28,29,27,26,54,5,1,5,1,917
4,4,1,0,0,0,0,3,2,6,25,23,21,30,28,35,3,1,4,1,854
5,3,1,0,0,0,0,3,3,7,30,28,24,30,31,22,4,1,5,1,912
5,3,1,0,0,0,0,3,3,7,18,20,28,27,34,37,4,1,5,1,905
3,4,1,0,0,1,0,4,2,5,27,35,20,25,29,59,7,1,6,0,841
5,3,1,0,0,0,0,3,3,7,24,28,16,33,26,32,5,1,5,1,906
3,5,1,0,0,1,0,4,2,5,16,27,23,32,23,18,0,1,6,0,837
4,3,1,0,0,0,0,3,3,8,28,24,20,25,34,53,6,1,4,1,837
4,3,1,0,0,0,0,3,3,8,22,25,19,20,16,77,6,1,4,1,828
6,5,2,1,1,1,1,4,1,3,16,26,21,36,31,64,2,0,2,0,1218
2,2,2,1,1,1,1,2,1,2,24,29,18,26,39,75,1,0,3,0,607
5,3,1,0,0,0,0,3,3,8,19,27,35,21,28,37,4,1,5,1,916
7,2,3,1,1,1,2,1,4,0,18,24,26,20,28,57,9,0,1,0,1322
6,5,1,0,0,1,0,4,2,5,22,22,23,28,20,42,0,1,6,0,1169
3,4,1,0,0,1,0,4,2,5,21,19,27,21,39,83,7,1,6,0,856
5,3,1,0,0,0,0,3,3,7,25,30,17,32,25,50,5,1,5,1,927
4,3,1,0,0,0,0,3,3,8,19,25,10,31,34,59,6,1,4,1,838
4,3,1,0,0,0,0,3,2,8,28,24,20,21,35,17,3,1,4,1,772
3,4,1,0,0,0,0,3,2,6,18,25,27,25,29,79,3,1,6,0,809
3,5,1,0,0,1,0,4,2,5,32,30,27,33,28,41,7,1,6,0,948
2,2,2,1,1,1,1,2,1,2,21,28,22,19,32,35,1,0,3,0,555
3,4,1,0,0,1,0,4,2,6,22,26,33,29,30,75,7,1,6,0,867
4,3,1,0,0,0,0,3,3,8,26,24,27,23,17,45,6,1,4,1,817
4,4,1,0,0,0,0,3,2,6,24,23,24,27,31,56,3,1,4,0,871
5,3,1,0,0,0,0,3,3,7,10,15,31,29,39,73,5,1,5,1,947
5,3,1,0,0,0,0,3,3,7,16,21,21,24,25,17,4,1,5,1,863
4,3,1,0,0,0,0,3,3,8,19,26,29,26,28,54,6,1,4,1,838
5,3,1,0,0,0,0,3,3,7,21,24,26,28,18,19,4,1,5,1,878
6,5,2,1,1,1,1,4,1,3,20,28,27,15,24,30,2,0,2,0,1178
5,3,1,0,0,0,0,3,3,7,26,24,25,36,26,34,5,1,5,1,910
6,5,2,1,1,1,1,4,1,4,24,20,27,28,27,44,2,0,2,0,1203
4,4,1,0,0,0,0,3,2,6,27,22,28,28,30,62,3,1,4,0,890
3,4,1,0,0,1,0,4,2,5,30,32,20,28,21,44,7,1,6,0,826
5,3,1,0,0,0,0,3,3,7,22,22,28,20,31,71,5,1,5,1,922
3,4,1,0,0,1,0,4,2,6,23,23,31,30,31,20,7,1,6,0,813
4,3,1,0,0,0,0,3,3,8,29,19,28,23,29,19,4,1,4,1,796
6,5,1,0,0,1,0,4,2,5,25,34,24,15,20,33,0,1,6,0,1153
4,3,1,0,0,0,0,3,3,8,30,28,24,22,34,33,6,1,4,1,823
7,2,3,1,1,1,2,1,4,0,20,26,30,25,28,64,9,0,1,0,1338
7,2,3,1,1,1,2,1,4,0,13,25,30,27,32,75,9,0,1,0,1345
6,5,1,0,0,1,0,4,2,5,30,31,22,31,36,56,0,1,6,0,1215
5,3,1,0,0,0,0,3,3,7,34,24,17,27,35,38,4,1,5,1,912
5,3,1,0,0,0,0,3,3,7,18,21,30,25,26,47,4,1,5,1,901
3,4,1,0,0,0,0,4,2,6,24,23,21,30,36,62,3,1,6,0,819
5,3,1,0,0,0,0,3,3,7,32,26,20,25,26,69,4,1,5,1,937
4,4,1,0,0,0,0,3,2,6,24,26,25,35,29,67,3,1,4,1,901
6,5,2,0,1,1,0,4,1,4,32,28,28,33,35,38,2,0,2,0,1247
5,3,1,0,0,0,0,3,3,7,28,20,28,21,39,36,5,1,5,1,911
4,3,1,0,0,0,0,3,3,8,28,17,25,26,33,69,6,1,4,1,854
4,3,1,0,0,0,0,3,2,8,31,38,20,18,28,66,3,1,4,1,836
2,5,2,1,1,1,1,2,1,9,18,24,30,36,30,64,8,0,3,0,945
2,2,2,1,1,1,2,2,1,2,18,31,15,28,27,70,1,0,3,0,595
2,2,2,1,1,1,1,2,1,9,19,24,33,27,31,83,8,0,3,0,722
3,4,1,0,0,1,0,4,2,5,24,28,34,25,32,18,7,1,6,0,810
7,2,3,1,1,1,2,2,4,0,15,35,8,19,28,34,9,0,1,0,1286
4,4,1,0,0,0,0,3,2,6,21,21,29,26,30,57,3,1,4,1,871
3,4,1,0,0,0,0,4,2,6,12,27,15,28,23,54,3,1,6,0,779
4,3,1,0,0,0,0,3,3,8,10,17,28,21,32,70,6,1,4,1,841
4,3,1,0,0,0,0,3,3,8,27,28,25,25,34,37,6,1,4,1,829
5,3,1,0,0,0,0,3,3,7,20,27,25,27,30,36,5,1,5,1,913
4,4,1,0,0,0,0,3,2,6,37,31,18,25,32,30,3,1,4,1,862
2,5,2,1,1,1,1,2,1,9,19,30,28,29,30,36,8,0,3,0,906
5,3,1,0,0,0,0,3,3,7,13,29,18,22,29,34,5,1,5,1,887
5,3,1,0,0,0,0,3,3,7,26,30,38,18,25,78,5,1,5,1,965
5,3,1,0,0,0,0,3,3,7,27,23,14,18,17,45,5,1,5,1,886
6,5,1,0,1,1,0,4,1,4,25,28,21,22,33,71,0,0,2,0,1169
6,5,1,0,0,1,0,4,2,5,20,34,11,28,33,60,0,0,2,0,1179
7,2,3,1,1,1,3,1,4,10,14,22,16,27,35,53,9,0,1,0,1423
4,3,1,0,0,0,0,3,2,8,18,23,25,20,29,74,6,1,4,1,830
5,3,1,0,0,0,0,3,3,7,20,30,24,35,28,71,5,1,5,1,949
3,4,1,0,0,1,0,4,2,5,23,31,33,20,30,58,7,1,6,0,835
6,5,1,0,1,1,0,4,2,4,13,22,8,32,34,32,0,0,2,0,1116
5,3,1,0,0,0,0,3,3,7,31,30,19,31,30,71,5,1,5,1,967
4,3,1,0,0,0,0,3,3,8,20,27,26,25,39,48,6,1,4,1,836
5,3,1,0,0,0,0,3,3,7,31,27,27,27,31,40,4,1,5,1,930
5,3,1,0,0,0,0,3,3,7,20,23,18,26,31,65,5,1,5,1,930
4,3,1,0,0,0,0,3,3,8,16,38,24,28,26,69,6,1,4,1,858
5,3,1,0,0,0,0,3,3,7,22,20,21,20,34,41,5,1,5,1,908
5,3,1,0,0,0,0,3,3,7,16,27,19,20,20,21,4,1,5,1,867
5,3,1,0,0,0,0,3,3,7,28,28,32,32,30,35,5,1,5,1,938
3,4,1,0,0,1,0,4,2,5,27,25,26,34,33,36,7,1,6,0,823
5,3,1,0,0,0,0,3,3,8,21,27,27,22,31,65,4,1,5,1,949
5,3,1,0,0,0,0,3,3,7,24,28,15,21,30,78,5,1,5,1,950
5,3,1,0,0,0,0,3,3,7,21,29,8,19,26,37,5,1,5,1,884
2,2,2,1,1,1,1,2,1,9,22,20,14,28,20,24,8,0,3,0,629
6,5,1,0,1,1,0,4,2,5,16,24,23,32,34,64,0,0,2,0,1175
6,5,2,1,1,1,1,4,1,3,20,35,40,34,26,27,2,0,2,0,1205
1,1,3,1,1,1,3,1,4,10,25,24,25,27,29,43,11,0,1,0,866
5,3,1,0,0,0,0,3,3,7,27,32,8,36,28,35,5,1,5,1,903
5,3,1,0,0,0,0,3,3,7,27,17,27,34,32,75,5,1,5,1,958
6,5,2,0,1,1,1,4,1,4,26,23,24,27,26,43,2,0,2,0,1231
6,5,2,0,1,1,0,4,1,4,15,24,27,27,25,60,2,0,2,0,1224
5,3,1,0,0,0,0,3,3,7,38,16,21,28,25,41,5,1,5,1,919
6,5,2,0,1,1,0,4,1,4,37,20,28,31,36,37,0,0,2,0,1230
6,5,1,0,0,1,0,4,2,5,36,37,32,31,27,69,0,1,6,0,1231
3,4,1,0,0,1,0,4,2,6,15,26,28,28,24,73,7,1,6,0,844
4,4,1,0,0,0,0,3,2,6,31,23,20,32,29,62,3,1,4,1,889
5,3,1,0,0,0,0,3,3,7,36,28,21,28,27,31,5,1,5,1,922
5,3,1,0,0,0,0,3,3,7,22,25,10,30,31,47,5,1,5,1,913
4,3,1,0,0,0,0,3,2,8,14,20,35,25,33,41,6,1,4,1,814
4,4,1,0,0,0,0,3,2,6,23,24,22,35,32,41,3,1,4,1,865
4,3,1,0,0,0,0,3,3,8,27,26,23,16,33,62,6,1,4,1,834
4,3,1,0,0,0,0,3,2,8,17,30,19,33,29,69,6,1,4,1,848
3,5,1,0,0,1,0,4,2,5,20,30,28,29,28,31,0,1,6,0,872
5,3,1,0,0,0,0,3,3,7,25,23,20,37,17,20,5,1,5,1,884
4,3,1,0,0,0,0,3,3,8,23,29,19,28,16,65,6,1,4,1,830
6,5,2,1,1,1,1,4,1,4,30,31,12,27,30,64,2,0,2,0,1233
6,5,2,1,1,1,1,4,1,3,18,27,11,30,25,60,2,0,2,0,1204
5,3,1,0,0,0,0,3,3,7,16,26,29,20,29,34,4,1,5,1,887
4,3,1,0,0,0,0,3,3,8,17,29,36,30,23,19,6,1,4,1,811
2,5,2,1,1,1,1,2,1,3,21,26,19,30,30,74,2,0,3,0,858
2,5,2,1,1,1,1,2,1,3,18,22,38,16,30,49,2,0,3,0,827
5,3,1,0,0,0,0,3,3,8,24,30,17,24,26,43,4,1,5,1,925
5,3,1,0,0,0,0,3,3,7,15,24,17,26,32,52,5,1,5,1,911
3,5,1,0,0,1,0,4,2,5,28,22,10,27,29,53,0,1,6,0,878
5,3,1,0,0,0,0,3,3,7,25,25,28,31,27,66,5,1,5,1,958
5,3,1,0,0,0,0,3,3,7,21,27,16,29,36,81,5,1,5,1,957
