"privacy_concerns","smartphone_skill","whatsapp_usage","secure_messenger","other_messenger","altruism","civic_duty","trust_science","trust_polsters","trust_gen","extrov","openess","neurot","consient","agreab","age_n","sted","inc_cat","educ_cat","employ_bin","Y_contacts"
6,5,1,0,1,1,0,4,2,5,26,26,31,22,23,56,0,0,2,0,537
3,4,1,0,0,1,0,4,2,6,16,23,24,33,29,38,7,1,6,0,547
3,5,1,0,0,1,0,4,2,5,27,35,24,28,31,27,0,1,6,0,524
5,3,1,0,0,0,0,3,3,7,25,30,25,28,30,54,5,1,5,1,582
4,3,1,0,0,0,0,3,2,8,11,27,20,20,22,49,3,1,4,1,514
5,3,1,0,0,0,0,3,3,7,38,25,40,30,16,69,4,1,5,1,607
4,3,1,0,0,0,0,3,3,8,12,22,29,26,31,71,6,1,4,1,591
3,4,1,0,0,1,0,4,2,6,12,26,27,15,23,24,7,1,6,0,518
4,3,1,0,0,0,0,3,3,8,18,17,24,30,23,49,6,1,4,1,563
5,3,1,0,0,0,0,3,3,7,16,25,22,23,37,23,5,1,5,1,539
5,3,1,0,0,0,0,3,3,7,26,36,36,21,24,19,4,1,5,1,562
3,4,1,0,0,1,0,4,2,5,20,27,21,24,29,74,7,1,6,0,578
4,3,1,0,0,0,0,3,3,8,17,28,26,24,31,27,6,1,4,1,558
6,5,2,0,1,1,0,4,1,4,13,24,29,33,31,71,2,0,2,0,566
5,3,1,0,0,0,0,3,3,7,20,20,10,28,28,30,5,1,5,1,531
4,3,1,0,0,0,0,3,2,8,34,34,26,28,29,36,6,1,4,1,579
1,1,3,1,1,1,3,1,4,10,18,18,24,29,39,39,11,0,1,0,575
2,2,2,1,1,1,1,2,1,9,15,29,19,30,25,54,8,0,3,0,529
2,2,2,1,1,1,1,2,1,9,31,28,20,32,21,75,8,0,3,0,560
5,3,1,0,0,0,0,3,3,7,15,15,22,30,21,63,5,1,5,1,558
5,3,1,0,0,0,0,3,3,7,24,26,20,28,25,61,5,1,5,1,581
3,4,1,0,0,1,0,4,2,5,24,27,19,23,34,65,7,1,6,0,566
4,3,1,0,0,0,0,3,3,8,27,19,31,18,29,72,6,1,4,1,586
3,4,1,0,0,1,0,4,2,5,20,32,15,28,27,70,7,1,6,0,568
4,3,1,0,0,0,0,3,3,8,27,25,38,33,36,60,4,1,4,1,611
5,3,1,0,0,0,0,3,3,7,28,28,35,29,30,73,4,1,5,1,613
6,5,2,0,1,1,0,4,1,4,22,27,24,27,28,60,2,0,2,0,552
5,3,1,0,0,0,0,3,3,7,35,23,33,25,32,20,5,1,5,1,560
4,3,1,0,0,0,0,3,2,8,25,27,22,29,27,69,6,1,4,1,588
4,4,1,0,0,0,0,3,2,6,28,34,34,34,34,51,3,1,4,1,573
3,4,1,0,0,0,0,4,2,6,19,23,31,29,21,60,3,1,6,0,551
4,3,1,0,0,0,0,3,3,8,25,17,22,26,28,44,6,1,4,1,557
4,4,1,0,0,0,0,3,2,6,18,25,19,29,30,41,3,1,4,1,531
7,2,3,1,1,1,2,2,4,0,38,23,20,25,27,59,9,0,1,0,556
4,4,1,0,0,0,0,3,2,6,29,23,26,27,24,64,3,1,4,1,552
2,2,2,1,1,1,1,2,1,9,24,26,23,25,26,37,8,0,3,0,517
2,2,2,1,1,1,1,2,1,2,10,18,14,33,33,47,1,0,3,0,403
3,4,1,0,0,0,0,4,2,6,31,29,26,28,35,64,7,1,6,0,601
4,3,1,0,0,0,0,3,3,8,27,23,27,32,33,45,6,1,4,1,587
5,3,1,0,0,0,0,3,3,7,30,36,24,22,25,81,5,1,5,1,617
2,2,3,1,1,1,2,2,4,2,14,23,30,33,33,43,1,0,3,0,474
5,3,1,0,0,0,0,3,3,8,18,35,35,26,31,74,4,1,4,1,613
5,3,1,0,0,0,0,3,3,7,27,24,29,21,32,80,5,1,5,1,606
2,2,3,1,1,1,2,2,4,0,28,25,21,22,30,49,1,0,3,0,453
6,5,1,0,0,1,0,4,2,5,31,24,24,26,25,41,0,1,6,0,560
5,3,1,0,0,0,0,3,3,7,24,25,25,28,21,23,5,1,5,1,546
4,4,1,0,0,0,0,3,2,6,28,29,36,19,32,58,3,1,4,0,564
7,2,3,1,1,1,2,2,4,0,26,29,20,21,23,77,9,0,1,0,559
3,4,1,0,0,0,0,4,2,6,28,30,20,29,33,19,3,1,6,0,529
4,3,1,0,0,0,0,3,3,8,11,35,33,31,18,36,6,1,4,1,561
3,4,1,0,0,1,0,4,2,5,12,17,24,25,28,71,7,1,6,0,562
4,3,1,0,0,0,0,3,3,8,13,28,36,24,33,80,4,1,4,1,598
5,3,1,0,0,0,0,3,3,8,25,25,29,28,33,56,4,1,4,1,596
5,3,1,0,0,0,0,3,3,7,24,23,34,34,29,66,4,1,5,1,605
4,3,1,0,0,0,0,3,3,8,32,20,40,30,37,72,6,1,4,1,629
1,1,3,1,1,1,3,1,4,10,32,34,14,24,38,73,11,0,1,0,618
5,3,1,0,0,0,0,3,3,7,16,28,12,28,29,57,5,1,5,1,564
5,3,1,0,0,0,0,3,3,7,29,15,33,29,27,33,5,1,5,1,567
5,3,1,0,0,0,0,3,3,7,28,20,30,20,31,46,5,1,5,1,563
3,5,1,0,0,1,0,4,2,5,20,29,22,28,28,45,7,1,6,0,562
3,4,1,0,0,1,0,4,2,6,21,26,17,26,31,25,7,1,6,0,532
2,2,2,1,1,1,1,2,1,9,27,28,22,31,26,63,8,0,3,0,547
3,4,1,0,0,1,0,4,2,5,19,22,27,21,38,58,7,1,6,0,565
6,5,1,0,0,1,0,4,2,5,10,20,25,29,30,55,0,0,2,0,534
4,4,1,0,0,0,0,3,2,6,16,26,26,27,32,69,3,1,4,1,551
3,4,1,0,0,1,0,4,2,5,20,27,11,22,23,74,7,1,6,0,563
6,5,2,1,1,1,1,4,1,3,20,30,20,27,20,63,2,0,2,0,533
6,5,2,0,1,1,0,4,1,4,21,24,30,29,28,36,2,0,2,0,522
7,2,3,1,1,1,3,1,4,10,21,26,26,25,27,37,9,0,1,0,619
4,3,1,0,0,0,0,3,2,8,30,25,33,30,29,39,6,1,4,1,578
4,3,1,0,0,0,0,3,3,8,31,22,31,28,28,40,4,1,4,1,569
4,3,1,0,0,0,0,3,3,8,15,23,23,23,26,61,6,1,4,1,568
5,3,1,0,0,0,0,3,3,7,18,25,29,27,36,66,5,1,5,1,589
5,3,1,0,0,0,0,3,3,7,22,30,29,32,33,39,4,1,5,1,580
2,5,2,1,1,1,1,4,1,3,22,20,23,32,28,70,2,0,2,0,507
5,3,1,0,0,0,0,3,3,7,15,15,32,31,39,55,4,1,5,1,572
5,3,1,0,0,0,0,3,3,7,21,33,16,20,31,70,4,1,5,1,581
5,3,1,0,0,0,0,3,3,7,22,28,24,23,33,39,5,1,5,1,568
5,3,1,0,0,0,0,3,3,7,28,32,35,36,31,50,4,1,5,1,601
6,5,1,0,0,1,0,4,2,5,25,32,33,33,32,74,0,0,2,0,602
2,5,2,1,1,1,1,4,1,3,20,35,28,33,20,76,2,0,2,0,522
4,4,1,0,0,0,0,3,2,6,20,32,19,20,34,51,3,1,4,1,535
4,3,1,0,0,0,0,3,3,8,30,25,24,33,17,29,6,1,4,1,544
5,3,1,0,0,0,0,3,3,7,30,21,21,23,24,64,4,1,5,1,572
5,3,1,0,0,0,0,3,3,7,20,28,34,36,30,26,5,1,5,1,561
4,3,1,0,0,0,0,3,3,8,28,22,23,25,34,49,6,1,4,1,580
3,4,1,0,0,0,0,4,2,6,24,28,35,30,29,74,3,1,6,0,585
5,3,1,0,0,0,0,3,3,7,28,22,15,28,25,61,4,1,5,1,568
4,3,1,0,0,0,0,3,2,8,22,32,25,34,29,76,6,1,4,1,607
5,3,1,0,0,0,0,3,3,7,37,21,19,18,33,63,4,1,5,1,580
4,4,1,0,0,0,0,3,2,6,23,28,19,32,30,72,3,1,4,1,565
4,3,1,0,0,0,0,3,3,8,23,28,26,38,31,26,6,1,4,1,571
3,4,1,0,0,1,0,4,2,5,25,28,10,16,25,53,7,1,6,0,542
4,3,1,0,0,0,0,3,3,8,21,26,30,28,29,74,6,1,4,1,610
4,3,1,0,0,0,0,3,3,8,28,37,31,33,25,56,6,1,4,1,603
4,4,1,0,0,0,0,3,2,6,22,24,26,32,25,36,3,1,4,1,534
6,5,1,0,0,1,0,4,2,5,19,35,37,28,32,60,0,0,2,0,581
5,3,1,0,0,0,0,3,3,7,19,33,32,21,28,37,4,1,5,1,568
4,3,1,0,0,0,0,3,3,8,18,25,28,33,31,62,6,1,4,1,600
5,3,1,0,0,0,0,3,3,7,9,23,17,34,35,57,4,1,5,1,565
3,4,1,0,0,1,0,4,2,6,20,27,37,29,35,27,7,1,6,0,568
5,3,1,0,0,0,0,3,3,7,12,27,30,23,23,50,4,1,5,1,553
2,5,2,1,1,1,1,2,1,3,23,26,28,29,30,74,8,0,3,0,530
6,5,1,0,0,1,0,4,2,5,22,34,25,27,34,67,0,0,2,0,574
3,4,1,0,0,1,0,4,2,5,19,38,35,21,21,55,7,1,6,0,576
3,4,1,0,0,1,0,4,2,6,31,21,22,25,34,59,7,1,6,0,585
4,3,1,0,0,0,0,3,3,8,22,23,36,29,25,59,6,1,4,1,589
4,4,1,0,0,0,0,3,2,6,25,24,16,32,28,20,3,1,4,1,513
2,5,2,1,1,1,1,2,1,9,22,33,29,27,36,75,8,0,3,0,599
3,4,1,0,0,0,0,4,2,6,25,17,37,26,33,62,3,1,6,0,568
6,5,2,1,1,1,1,4,1,3,12,22,29,30,27,41,2,0,2,0,511
4,3,1,0,0,0,0,3,3,8,17,29,40,28,32,22,4,1,4,1,553
3,5,1,0,0,1,0,4,2,5,28,29,23,25,26,67,0,1,6,0,551
5,3,1,0,0,0,0,3,3,7,12,20,17,24,32,38,4,1,5,1,537
3,4,1,0,0,0,0,4,2,6,25,21,31,32,32,24,3,1,6,0,524
4,4,1,0,0,0,0,3,2,6,18,31,12,29,21,59,3,1,4,1,536
5,3,1,0,0,0,0,3,3,7,24,28,31,31,31,62,4,1,5,1,593
3,4,1,0,0,0,0,3,2,6,20,22,26,23,35,54,3,1,6,0,536
2,2,2,1,1,1,1,2,1,2,18,31,16,16,20,58,1,0,3,0,407
2,2,2,1,1,1,1,2,1,9,15,22,40,28,32,54,8,0,3,0,549
5,3,1,0,0,0,0,3,3,7,21,30,31,36,26,62,4,1,5,1,598
4,3,1,0,0,0,0,3,3,8,16,20,22,33,27,31,4,1,4,1,540
1,1,3,1,1,1,3,1,4,10,25,25,28,27,29,56,11,0,1,0,598
3,4,1,0,0,1,0,4,2,6,29,27,30,30,33,36,7,1,6,0,578
2,2,3,1,1,1,2,2,4,2,27,23,17,32,23,60,1,0,3,0,485
4,3,1,0,0,0,0,3,2,8,23,27,28,23,34,23,6,1,4,1,540
4,3,1,0,0,0,0,3,3,8,29,23,29,30,29,39,6,1,4,1,571
3,4,1,0,0,1,0,4,2,5,11,19,18,26,31,18,7,1,6,0,506
5,3,1,0,0,0,0,3,3,7,28,23,18,22,30,53,5,1,5,1,559
3,4,1,0,0,0,0,4,2,6,28,32,27,37,28,53,3,1,6,0,567
5,3,1,0,0,0,0,3,3,7,19,35,26,29,27,26,4,1,5,1,558
7,2,3,1,1,1,2,1,4,0,20,22,20,19,27,79,9,0,1,0,536
3,4,1,0,0,0,0,4,2,6,14,34,24,25,27,32,7,1,6,0,536
4,4,1,0,0,0,0,3,2,6,27,19,19,35,33,21,3,1,4,1,513
4,3,1,0,0,0,0,3,3,8,29,24,28,34,23,62,6,1,4,1,595
2,2,2,1,1,1,1,2,1,9,26,25,32,33,29,60,8,0,3,0,559
4,3,1,0,0,0,0,3,3,8,19,21,27,32,21,71,6,1,4,1,586
5,3,1,0,0,0,0,3,3,8,13,25,32,32,24,56,4,1,5,1,577
5,3,1,0,0,0,0,3,3,7,14,26,28,27,36,47,5,1,5,1,576
5,3,1,0,0,0,0,3,3,7,20,28,29,27,26,54,5,1,5,1,575
4,4,1,0,0,0,0,3,2,6,25,23,21,30,28,35,3,1,4,1,526
5,3,1,0,0,0,0,3,3,7,30,28,24,30,31,22,4,1,5,1,557
5,3,1,0,0,0,0,3,3,7,18,20,28,27,34,37,4,1,5,1,552
3,4,1,0,0,1,0,4,2,5,27,35,20,25,29,59,7,1,6,0,576
5,3,1,0,0,0,0,3,3,7,24,28,16,33,26,32,5,1,5,1,563
3,5,1,0,0,1,0,4,2,5,16,27,23,32,23,18,0,1,6,0,510
4,3,1,0,0,0,0,3,3,8,28,24,20,25,34,53,6,1,4,1,584
4,3,1,0,0,0,0,3,3,8,22,25,19,20,16,77,6,1,4,1,582
6,5,2,1,1,1,1,4,1,3,16,26,21,36,31,64,2,0,2,0,541
2,2,2,1,1,1,1,2,1,2,24,29,18,26,39,75,1,0,3,0,461
5,3,1,0,0,0,0,3,3,8,19,27,35,21,28,37,4,1,5,1,562
7,2,3,1,1,1,2,1,4,0,18,24,26,20,28,57,9,0,1,0,512
6,5,1,0,0,1,0,4,2,5,22,22,23,28,20,42,0,1,6,0,551
3,4,1,0,0,1,0,4,2,5,21,19,27,21,39,83,7,1,6,0,589
5,3,1,0,0,0,0,3,3,7,25,30,17,32,25,50,5,1,5,1,573
4,3,1,0,0,0,0,3,3,8,19,25,10,31,34,59,6,1,4,1,568
4,3,1,0,0,0,0,3,2,8,28,24,20,21,35,17,3,1,4,1,521
3,4,1,0,0,0,0,3,2,6,18,25,27,25,29,79,3,1,6,0,550
3,5,1,0,0,1,0,4,2,5,32,30,27,33,28,41,7,1,6,0,589
2,2,2,1,1,1,1,2,1,2,21,28,22,19,32,35,1,0,3,0,405
3,4,1,0,0,1,0,4,2,6,22,26,33,29,30,75,7,1,6,0,609
4,3,1,0,0,0,0,3,3,8,26,24,27,23,17,45,6,1,4,1,563
4,4,1,0,0,0,0,3,2,6,24,23,24,27,31,56,3,1,4,0,534
5,3,1,0,0,0,0,3,3,7,10,15,31,29,39,73,5,1,5,1,592
5,3,1,0,0,0,0,3,3,7,16,21,21,24,25,17,4,1,5,1,514
4,3,1,0,0,0,0,3,3,8,19,26,29,26,28,54,6,1,4,1,581
5,3,1,0,0,0,0,3,3,7,21,24,26,28,18,19,4,1,5,1,531
6,5,2,1,1,1,1,4,1,3,20,28,27,15,24,30,2,0,2,0,487
5,3,1,0,0,0,0,3,3,7,26,24,25,36,26,34,5,1,5,1,565
6,5,2,1,1,1,1,4,1,4,24,20,27,28,27,44,2,0,2,0,533
4,4,1,0,0,0,0,3,2,6,27,22,28,28,30,62,3,1,4,0,557
3,4,1,0,0,1,0,4,2,5,30,32,20,28,21,44,7,1,6,0,555
5,3,1,0,0,0,0,3,3,7,22,22,28,20,31,71,5,1,5,1,594
3,4,1,0,0,1,0,4,2,6,23,23,31,30,31,20,7,1,6,0,548
4,3,1,0,0,0,0,3,3,8,29,19,28,23,29,19,4,1,4,1,530
6,5,1,0,0,1,0,4,2,5,25,34,24,15,20,33,0,1,6,0,532
4,3,1,0,0,0,0,3,3,8,30,28,24,22,34,33,6,1,4,1,576
7,2,3,1,1,1,2,1,4,0,20,26,30,25,28,64,9,0,1,0,545
7,2,3,1,1,1,2,1,4,0,13,25,30,27,32,75,9,0,1,0,559
6,5,1,0,0,1,0,4,2,5,30,31,22,31,36,56,0,1,6,0,602
5,3,1,0,0,0,0,3,3,7,34,24,17,27,35,38,4,1,5,1,569
5,3,1,0,0,0,0,3,3,7,18,21,30,25,26,47,4,1,5,1,560
3,4,1,0,0,0,0,4,2,6,24,23,21,30,36,62,3,1,6,0,560
5,3,1,0,0,0,0,3,3,7,32,26,20,25,26,69,4,1,5,1,594
4,4,1,0,0,0,0,3,2,6,24,26,25,35,29,67,3,1,4,1,575
6,5,2,0,1,1,0,4,1,4,32,28,28,33,35,38,2,0,2,0,567
5,3,1,0,0,0,0,3,3,7,28,20,28,21,39,36,5,1,5,1,560
4,3,1,0,0,0,0,3,3,8,28,17,25,26,33,69,6,1,4,1,596
4,3,1,0,0,0,0,3,2,8,31,38,20,18,28,66,3,1,4,1,582
2,5,2,1,1,1,1,2,1,9,18,24,30,36,30,64,8,0,3,0,588
2,2,2,1,1,1,2,2,1,2,18,31,15,28,27,70,1,0,3,0,449
2,2,2,1,1,1,1,2,1,9,19,24,33,27,31,83,8,0,3,0,572
3,4,1,0,0,1,0,4,2,5,24,28,34,25,32,18,7,1,6,0,552
7,2,3,1,1,1,2,2,4,0,15,35,8,19,28,34,9,0,1,0,508
4,4,1,0,0,0,0,3,2,6,21,21,29,26,30,57,3,1,4,1,547
3,4,1,0,0,0,0,4,2,6,12,27,15,28,23,54,3,1,6,0,524
4,3,1,0,0,0,0,3,3,8,10,17,28,21,32,70,6,1,4,1,578
4,3,1,0,0,0,0,3,3,8,27,28,25,25,34,37,6,1,4,1,578
5,3,1,0,0,0,0,3,3,7,20,27,25,27,30,36,5,1,5,1,559
4,4,1,0,0,0,0,3,2,6,37,31,18,25,32,30,3,1,4,1,533
2,5,2,1,1,1,1,2,1,9,19,30,28,29,30,36,8,0,3,0,547
5,3,1,0,0,0,0,3,3,7,13,29,18,22,29,34,5,1,5,1,544
5,3,1,0,0,0,0,3,3,7,26,30,38,18,25,78,5,1,5,1,615
5,3,1,0,0,0,0,3,3,7,27,23,14,18,17,45,5,1,5,1,548
6,5,1,0,1,1,0,4,1,4,25,28,21,22,33,71,0,0,2,0,537
6,5,1,0,0,1,0,4,2,5,20,34,11,28,33,60,0,0,2,0,544
7,2,3,1,1,1,3,1,4,10,14,22,16,27,35,53,9,0,1,0,629
4,3,1,0,0,0,0,3,2,8,18,23,25,20,29,74,6,1,4,1,579
5,3,1,0,0,0,0,3,3,7,20,30,24,35,28,71,5,1,5,1,605
3,4,1,0,0,1,0,4,2,5,23,31,33,20,30,58,7,1,6,0,576
6,5,1,0,1,1,0,4,2,4,13,22,8,32,34,32,0,0,2,0,490
5,3,1,0,0,0,0,3,3,7,31,30,19,31,30,71,5,1,5,1,617
4,3,1,0,0,0,0,3,3,8,20,27,26,25,39,48,6,1,4,1,580
5,3,1,0,0,0,0,3,3,7,31,27,27,27,31,40,4,1,5,1,582
5,3,1,0,0,0,0,3,3,7,20,23,18,26,31,65,5,1,5,1,581
4,3,1,0,0,0,0,3,3,8,16,38,24,28,26,69,6,1,4,1,603
5,3,1,0,0,0,0,3,3,7,22,20,21,20,34,41,5,1,5,1,547
5,3,1,0,0,0,0,3,3,7,16,27,19,20,20,21,4,1,5,1,509
5,3,1,0,0,0,0,3,3,7,28,28,32,32,30,35,5,1,5,1,564
3,4,1,0,0,1,0,4,2,5,27,25,26,34,33,36,7,1,6,0,561
5,3,1,0,0,0,0,3,3,8,21,27,27,22,31,65,4,1,5,1,591
5,3,1,0,0,0,0,3,3,7,24,28,15,21,30,78,5,1,5,1,592
5,3,1,0,0,0,0,3,3,7,21,29,8,19,26,37,5,1,5,1,527
2,2,2,1,1,1,1,2,1,9,22,20,14,28,20,24,8,0,3,0,485
6,5,1,0,1,1,0,4,2,5,16,24,23,32,34,64,0,0,2,0,543
6,5,2,1,1,1,1,4,1,3,20,35,40,34,26,27,2,0,2,0,532
1,1,3,1,1,1,3,1,4,10,25,24,25,27,29,43,11,0,1,0,578
5,3,1,0,0,0,0,3,3,7,27,32,8,36,28,35,5,1,5,1,561
5,3,1,0,0,0,0,3,3,7,27,17,27,34,32,75,5,1,5,1,614
6,5,2,0,1,1,1,4,1,4,26,23,24,27,26,43,2,0,2,0,544
6,5,2,0,1,1,0,4,1,4,15,24,27,27,25,60,2,0,2,0,532
5,3,1,0,0,0,0,3,3,7,38,16,21,28,25,41,5,1,5,1,568
6,5,2,0,1,1,0,4,1,4,37,20,28,31,36,37,0,0,2,0,536
6,5,1,0,0,1,0,4,2,5,36,37,32,31,27,69,0,1,6,0,620
3,4,1,0,0,1,0,4,2,6,15,26,28,28,24,73,7,1,6,0,587
4,4,1,0,0,0,0,3,2,6,31,23,20,32,29,62,3,1,4,1,554
5,3,1,0,0,0,0,3,3,7,36,28,21,28,27,31,5,1,5,1,556
5,3,1,0,0,0,0,3,3,7,22,25,10,30,31,47,5,1,5,1,560
4,3,1,0,0,0,0,3,2,8,14,20,35,25,33,41,6,1,4,1,564
4,4,1,0,0,0,0,3,2,6,23,24,22,35,32,41,3,1,4,1,541
4,3,1,0,0,0,0,3,3,8,27,26,23,16,33,62,6,1,4,1,587
4,3,1,0,0,0,0,3,2,8,17,30,19,33,29,69,6,1,4,1,581
3,5,1,0,0,1,0,4,2,5,20,30,28,29,28,31,0,1,6,0,522
5,3,1,0,0,0,0,3,3,7,25,23,20,37,17,20,5,1,5,1,537
4,3,1,0,0,0,0,3,3,8,23,29,19,28,16,65,6,1,4,1,579
6,5,2,1,1,1,1,4,1,4,30,31,12,27,30,64,2,0,2,0,562
6,5,2,1,1,1,1,4,1,3,18,27,11,30,25,60,2,0,2,0,511
5,3,1,0,0,0,0,3,3,7,16,26,29,20,29,34,4,1,5,1,547
4,3,1,0,0,0,0,3,3,8,17,29,36,30,23,19,6,1,4,1,547
2,5,2,1,1,1,1,2,1,3,21,26,19,30,30,74,2,0,3,0,499
2,5,2,1,1,1,1,2,1,3,18,22,38,16,30,49,2,0,3,0,470
5,3,1,0,0,0,0,3,3,8,24,30,17,24,26,43,4,1,5,1,564
5,3,1,0,0,0,0,3,3,7,15,24,17,26,32,52,5,1,5,1,563
3,5,1,0,0,1,0,4,2,5,28,22,10,27,29,53,0,1,6,0,521
5,3,1,0,0,0,0,3,3,7,25,25,28,31,27,66,5,1,5,1,597
5,3,1,0,0,0,0,3,3,7,21,27,16,29,36,81,5,1,5,1,607
1,1,4,1,1,1,4,1,4,1,18,29,32,30,24,56,10,0,1,0,518
